age,job,marital,education,default,balance,housing,loan,contact,month,duration,poutcome,deposit
,admin.,married,secondary,no,,yes,no,unknown,may,1042.0,unknown,yes
56.0,admin.,married,secondary,no,45.0,no,no,unknown,may,1467.0,unknown,yes
41.0,technician,married,secondary,no,1270.0,yes,no,unknown,may,1389.0,unknown,yes
55.0,services,married,secondary,no,,yes,no,unknown,may,,unknown,yes
54.0,admin.,married,tertiary,no,184.0,no,no,unknown,may,673.0,unknown,yes
42.0,management,single,tertiary,no,0.0,yes,yes,unknown,may,562.0,unknown,yes
56.0,management,married,tertiary,no,830.0,yes,yes,unknown,may,1201.0,unknown,yes
60.0,retired,divorced,secondary,no,545.0,yes,no,unknown,may,1030.0,unknown,yes
37.0,technician,married,secondary,no,1.0,yes,no,unknown,may,,unknown,yes
,services,single,secondary,no,5090.0,yes,no,unknown,may,1297.0,unknown,yes
38.0,admin.,single,secondary,no,100.0,yes,no,unknown,may,,unknown,yes
,blue-collar,married,secondary,no,309.0,yes,no,unknown,may,1574.0,unknown,yes
29.0,management,married,tertiary,no,,yes,yes,unknown,may,1689.0,unknown,yes
46.0,blue-collar,single,tertiary,no,460.0,yes,no,unknown,may,1102.0,unknown,yes
,technician,,tertiary,no,,yes,no,unknown,may,,unknown,yes
35.0,management,divorced,tertiary,no,3837.0,yes,no,unknown,may,1084.0,unknown,yes
32.0,blue-collar,single,primary,no,,yes,no,unknown,may,541.0,unknown,yes
,services,married,secondary,no,-8.0,yes,no,unknown,may,1119.0,unknown,yes
41.0,admin.,married,secondary,no,55.0,yes,no,unknown,may,1120.0,unknown,yes
,admin.,divorced,secondary,no,168.0,yes,yes,unknown,may,513.0,unknown,yes
28.0,admin.,divorced,secondary,no,,yes,no,unknown,may,442.0,unknown,yes
43.0,management,single,tertiary,no,2067.0,yes,no,unknown,may,756.0,unknown,yes
43.0,management,divorced,tertiary,no,388.0,yes,no,unknown,may,2087.0,unknown,yes
43.0,blue-collar,married,primary,no,-192.0,yes,no,unknown,may,1120.0,unknown,yes
37.0,unemployed,single,secondary,no,381.0,yes,no,unknown,may,985.0,unknown,yes
35.0,blue-collar,single,secondary,no,40.0,yes,no,unknown,may,617.0,unknown,yes
31.0,technician,single,tertiary,no,22.0,yes,no,unknown,may,483.0,unknown,yes
43.0,blue-collar,single,secondary,no,3.0,yes,no,unknown,may,929.0,unknown,yes
31.0,admin.,married,secondary,no,307.0,yes,no,unknown,may,538.0,unknown,yes
28.0,blue-collar,single,secondary,no,759.0,yes,no,unknown,may,,unknown,yes
32.0,blue-collar,married,secondary,yes,-1.0,yes,no,unknown,may,653.0,unknown,yes
,technician,married,primary,no,65.0,yes,no,unknown,may,,unknown,yes
,blue-collar,single,secondary,no,82.0,yes,no,unknown,may,654.0,unknown,yes
40.0,blue-collar,,,no,,yes,no,unknown,may,,unknown,yes
33.0,blue-collar,divorced,primary,no,390.0,yes,no,unknown,may,665.0,unknown,yes
32.0,management,,,no,,no,no,unknown,may,,unknown,yes
35.0,blue-collar,married,primary,no,414.0,no,no,unknown,may,504.0,unknown,yes
33.0,management,divorced,secondary,no,5.0,yes,no,unknown,may,1346.0,unknown,yes
38.0,management,married,tertiary,no,119.0,yes,no,unknown,may,568.0,unknown,yes
23.0,entrepreneur,,primary,no,,yes,no,unknown,may,,unknown,yes
60.0,blue-collar,married,primary,no,,yes,yes,unknown,may,1015.0,unknown,yes
48.0,management,married,tertiary,no,,yes,no,unknown,may,,unknown,yes
45.0,entrepreneur,divorced,tertiary,no,-395.0,yes,no,unknown,may,470.0,unknown,yes
36.0,blue-collar,married,secondary,no,,yes,no,unknown,may,1001.0,unknown,yes
52.0,management,married,unknown,no,2240.0,yes,no,unknown,may,845.0,unknown,yes
,blue-collar,divorced,primary,no,300.0,yes,no,unknown,may,945.0,unknown,yes
43.0,technician,married,secondary,no,3285.0,yes,no,unknown,may,1721.0,unknown,yes
,housemaid,,secondary,no,,yes,no,unknown,may,,unknown,yes
,technician,divorced,primary,no,,yes,no,unknown,may,476.0,unknown,yes
48.0,blue-collar,divorced,primary,no,,yes,no,unknown,may,832.0,unknown,yes
41.0,blue-collar,,,no,,yes,no,unknown,may,,unknown,yes
39.0,management,divorced,tertiary,no,,yes,yes,unknown,may,1328.0,unknown,yes
59.0,retired,married,secondary,no,1521.0,yes,yes,unknown,may,1125.0,unknown,yes
41.0,blue-collar,married,secondary,no,2823.0,yes,no,unknown,may,858.0,unknown,yes
48.0,blue-collar,married,secondary,no,,yes,no,unknown,may,629.0,unknown,yes
40.0,admin.,married,secondary,no,1535.0,yes,no,unknown,may,704.0,unknown,yes
48.0,blue-collar,married,secondary,no,1596.0,yes,no,unknown,may,760.0,unknown,yes
60.0,retired,married,primary,no,1542.0,yes,no,unknown,may,930.0,unknown,yes
40.0,technician,single,unknown,no,,yes,no,unknown,may,1028.0,unknown,yes
,technician,married,tertiary,no,-1.0,no,no,unknown,may,850.0,unknown,yes
51.0,blue-collar,married,secondary,no,7180.0,yes,no,unknown,may,927.0,unknown,yes
,blue-collar,divorced,secondary,no,5291.0,yes,no,unknown,may,1423.0,unknown,yes
41.0,blue-collar,married,secondary,no,1384.0,yes,no,unknown,may,1162.0,unknown,yes
52.0,blue-collar,divorced,primary,no,-191.0,yes,no,unknown,may,,unknown,yes
59.0,blue-collar,married,primary,no,320.0,yes,no,unknown,may,695.0,unknown,yes
44.0,blue-collar,married,unknown,no,146.0,yes,no,unknown,may,483.0,unknown,yes
49.0,unknown,married,primary,no,341.0,yes,yes,unknown,may,520.0,unknown,yes
40.0,services,married,primary,no,,yes,no,unknown,may,920.0,unknown,yes
41.0,admin.,married,primary,no,-306.0,yes,no,unknown,may,500.0,unknown,yes
44.0,technician,married,tertiary,no,4580.0,yes,no,unknown,may,911.0,unknown,yes
,services,,primary,no,,yes,no,unknown,may,,unknown,yes
29.0,management,married,tertiary,no,10576.0,no,no,unknown,may,1224.0,unknown,yes
41.0,retired,divorced,primary,no,-233.0,yes,no,unknown,may,1156.0,unknown,yes
,blue-collar,married,primary,no,2453.0,yes,no,unknown,may,1052.0,unknown,yes
42.0,technician,single,secondary,no,1364.0,yes,no,unknown,may,1867.0,unknown,yes
,services,single,unknown,no,281.0,yes,no,unknown,may,515.0,unknown,yes
39.0,technician,married,tertiary,no,94.0,yes,yes,unknown,may,813.0,unknown,yes
31.0,self-employed,single,tertiary,no,144.0,yes,no,unknown,may,676.0,unknown,yes
26.0,blue-collar,married,secondary,no,246.0,yes,no,unknown,may,1143.0,unknown,yes
,blue-collar,married,secondary,no,,yes,no,unknown,may,,unknown,yes
29.0,admin.,single,secondary,no,163.0,yes,yes,unknown,may,,unknown,yes
,services,divorced,secondary,no,49.0,yes,no,unknown,may,619.0,unknown,yes
